αs,params,chi2/dof,ratios_list
0.11305,[ 3.07522 -0.82446 -0.3283 ],1.9538021004909163,"{'μS_ratio': 0.6753762902895516, 'μJ_ratio': 0.756319688485921, 'νS_ratio': 0.5572882866339522, 'νJ_ratio': 0.6328360789680804, 'μH_ratio': 0.7650570764184991, 'bmax_ratio': 1.3926614663809462}"
0.11665,[ 3.01183 -0.37599 -0.14688],2.0572206538177897,"{'μS_ratio': 1.0513302109239988, 'μJ_ratio': 0.5399728816824175, 'νS_ratio': 1.7101147849103442, 'νJ_ratio': 1.3721602185393362, 'μH_ratio': 0.7260715757433687, 'bmax_ratio': 0.6953257279686157}"
0.11322,[ 3.04066 -0.64124 -0.16886],2.0223633574787407,"{'μS_ratio': 0.8284128394852225, 'μJ_ratio': 0.5265342655261565, 'νS_ratio': 0.7717140428898941, 'νJ_ratio': 1.318921838399473, 'μH_ratio': 0.5753079327611427, 'bmax_ratio': 1.2842460083725389}"
0.11218,[ 3.08803 -0.92308 -0.39211],1.952855803187718,"{'μS_ratio': 0.6303605914498167, 'μJ_ratio': 1.1874202866788282, 'νS_ratio': 0.8633292062624688, 'νJ_ratio': 0.8599059983100331, 'μH_ratio': 0.8313741219029293, 'bmax_ratio': 0.7107727128706554}"
0.11428,[ 3.0627  -0.66811 -0.19221],1.9829920200565232,"{'μS_ratio': 0.5542010080484243, 'μJ_ratio': 0.511528470438964, 'νS_ratio': 0.7937300135835417, 'νJ_ratio': 0.5003918666804014, 'μH_ratio': 0.9669061925366261, 'bmax_ratio': 0.9156236074391078}"
0.12052,[ 3.03053 -0.79258 -0.26941],1.9320040987315805,"{'μS_ratio': 1.884425523263828, 'μJ_ratio': 0.9728019882931482, 'νS_ratio': 1.3754549663343476, 'νJ_ratio': 1.9602746093927488, 'μH_ratio': 1.6784308055041628, 'bmax_ratio': 1.2909399382704936}"
0.11481,[ 3.08646 -0.93723 -0.4485 ],1.9399943148992722,"{'μS_ratio': 1.3274464920693347, 'μJ_ratio': 1.941359397544837, 'νS_ratio': 0.8031239271456441, 'νJ_ratio': 0.7228588815447115, 'μH_ratio': 1.954483863669684, 'bmax_ratio': 0.6827539459305594}"
0.11221,[ 3.06238 -0.95142 -0.48939],1.9480841959032371,"{'μS_ratio': 0.9365055467679662, 'μJ_ratio': 1.7568195887650457, 'νS_ratio': 0.5671676299888708, 'νJ_ratio': 0.6697695623241364, 'μH_ratio': 1.8115463969214876, 'bmax_ratio': 1.0858486334987547}"
0.11272,[ 3.0842  -0.90403 -0.41706],1.9518170480660615,"{'μS_ratio': 0.8228433410474063, 'μJ_ratio': 1.0690898996304743, 'νS_ratio': 0.8626886653191226, 'νJ_ratio': 1.4078853868582928, 'μH_ratio': 1.0812585921971214, 'bmax_ratio': 1.4440043401760003}"
0.11852,[ 3.08149 -0.8804  -0.3781 ],1.9420683835128922,"{'μS_ratio': 1.7439409354149134, 'μJ_ratio': 1.4846423878151158, 'νS_ratio': 1.1191778567510018, 'νJ_ratio': 1.8503621057983366, 'μH_ratio': 1.2965154431655685, 'bmax_ratio': 1.0153498620262058}"
0.12093,[ 3.04743 -0.82534 -0.30992],1.9473722474351551,"{'μS_ratio': 1.949148746348053, 'μJ_ratio': 1.3310619432746185, 'νS_ratio': 1.1424625069574823, 'νJ_ratio': 1.3380938228326946, 'μH_ratio': 1.0328014531683936, 'bmax_ratio': 0.7807688928500374}"
