αs,params,chi2/dof
0.118,[0.86242 2.7143  1.12345],2.3087122161935234
0.118,[0.86247 2.72749 1.12775],2.7974671684502757
0.118,[0.85688 2.80642 1.16135],2.9100728998116776
0.118,[0.8632  2.73808 1.14773],2.1998283688055302
0.118,[0.86568 2.80886 1.16007],2.62441781701871
0.118,[0.8693  2.67972 1.12907],2.538239336480715
0.118,[0.87379 2.61817 1.10964],2.7036752090197558
0.118,[0.86449 2.77023 1.13329],2.20547680389745
0.118,[0.86387 2.72064 1.12799],2.310775437080552
0.118,[0.86526 2.71139 1.13017],2.8201838728904423
0.118,[0.86407 2.70906 1.12977],2.2048163336583175
0.118,[0.86213 2.75546 1.13511],2.2644098522830522
0.118,[0.8729  2.67164 1.1123 ],2.816521272496331
0.118,[0.86958 2.66093 1.12035],1.958025542719459
0.118,[0.86547 2.72458 1.1413 ],2.7133552319015086
0.118,[0.87083 2.71388 1.12956],2.3140556103675594
0.118,[0.86164 2.75437 1.14103],2.909338034440673
0.118,[0.86042 2.73272 1.13068],2.8243609464920496
0.118,[0.8637  2.76537 1.14162],2.63322136626286
0.118,[0.86169 2.76331 1.15239],2.5105669473976704
0.118,[0.86293 2.77927 1.15426],2.853838253438675
0.118,[0.87192 2.72631 1.1409 ],2.7883297168932373
0.118,[0.8727  2.66011 1.10969],2.392440748178694
0.118,[0.85794 2.74897 1.14211],2.533908493440734
0.118,[0.86457 2.71736 1.1334 ],2.294809517938178
0.118,[0.85251 2.7997  1.14424],2.383548569463895
0.118,[0.8666  2.69877 1.13972],2.575023333627265
0.118,[0.86325 2.74062 1.13299],2.5231121859832903
0.118,[0.86125 2.80459 1.15423],2.7518105059358335
0.118,[0.86106 2.792   1.14669],2.4889078395262274
0.118,[0.85925 2.79545 1.14392],2.1109872871621955
0.118,[0.86457 2.7557  1.12866],2.1869586627191144
0.118,[0.86986 2.6936  1.12736],3.33955291819797
0.118,[0.86481 2.77653 1.13664],2.747417310278356
0.118,[0.85694 2.78895 1.14107],2.5043716667322835
0.118,[0.86757 2.69809 1.12473],2.5778880436588723
0.118,[0.864   2.76917 1.13698],2.296877492226699
0.118,[0.86723 2.77135 1.13927],2.6263410501824582
0.118,[0.8666  2.77005 1.13394],2.067814103390861
0.118,[0.86192 2.64296 1.12772],2.3287067635958425
0.118,[0.86474 2.7122  1.1392 ],2.68092204149211
0.118,[0.86746 2.72887 1.13912],2.7120820992194794
0.118,[0.86061 2.76732 1.14836],2.8784852113777544
0.118,[0.86507 2.67754 1.11086],2.417207658957487
0.118,[0.86056 2.76611 1.14985],2.3927898491044814
0.118,[0.86726 2.72967 1.13416],2.4228015668075704
0.118,[0.8605  2.7236  1.12721],2.636926660043716
0.118,[0.86175 2.74027 1.14658],2.508961979348492
0.118,[0.86259 2.71916 1.13929],2.498668887169488
0.118,[0.86245 2.79404 1.14795],2.207399442257212
0.118,[0.87026 2.70555 1.12398],2.2529757135322286
