αs,params,chi2/dof
0.118,[0.85808 2.75586 1.13164],1.553855344186976
0.118,[0.86221 2.57904 1.13269],1.5168109896772652
0.118,[0.86212 2.58237 1.13274],1.517409189010881
0.118,[0.87243 2.66827 1.14098],1.5761451075549375
0.118,[0.86622 2.89776 1.12889],1.632326813972528
0.118,[0.85693 2.80632 1.12962],1.5664852409188832
0.118,[0.86573 2.71306 1.13623],1.567772494753212
0.118,[0.87126 2.72588 1.13918],1.589653587858154
0.118,[0.86327 2.6505  1.1348 ],1.5409518836479017
0.118,[0.85722 2.86342 1.12689],1.5887605269524552
0.118,[0.87125 2.79488 1.13728],1.6113520299629323
0.118,[0.86581 2.85228 1.13171],1.6137195110648566
0.118,[0.8604  2.75307 1.13277],1.5618581133193172
0.118,[0.86903 2.86143 1.13278],1.6273583771433642
0.118,[0.86127 2.73876 1.13348],1.5604382354888309
0.118,[0.86198 2.85859 1.12943],1.603482054621473
0.118,[0.86749 2.81249 1.13458],1.6051870226392968
0.118,[0.85555 2.84251 1.12739],1.5741860663585006
0.118,[0.86259 2.73068 1.13429],1.5625414916013227
0.118,[0.86043 2.72422 1.13324],1.5528706010310833
0.118,[0.85954 2.87639 1.12714],1.6020152570153807
0.118,[0.86482 2.80465 1.1335 ],1.5938461741614987
0.118,[0.85906 2.70872 1.13273],1.5427052741294112
0.118,[0.86086 2.87566 1.12782],1.6061942539971665
0.118,[0.87846 2.55123 1.14249],1.5634646255429279
0.118,[0.86731 2.64347 1.13716],1.552544132533661
0.118,[0.85496 2.8605  1.12614],1.5787660441421765
0.118,[0.86349 2.5168  1.13113],1.5041886239787117
0.118,[0.87226 2.69815 1.1401 ],1.584574925508322
0.118,[0.85457 2.85091 1.12659],1.5732261161129824
0.118,[0.86669 2.70797 1.13683],1.5694239286102025
0.118,[0.87002 2.57425 1.13764],1.5419965553162185
0.118,[0.85685 2.82978 1.12855],1.5746556573313504
0.118,[0.86475 2.55165 1.13344],1.5181515660145632
0.118,[0.87293 2.6938  1.14053],1.5854676342693197
0.118,[0.87125 2.60923 1.13916],1.5557869492690746
0.118,[0.85758 2.76826 1.13114],1.5559293636202853
0.118,[0.8628  2.61687 1.13396],1.529645242854383
0.118,[0.86526 2.82095 1.13304],1.6008416039280147
0.118,[0.87028 2.82077 1.13565],1.6169139375837083
0.118,[0.87306 2.66215 1.14071],1.5766974103148104
0.118,[0.86269 2.53576 1.13142],1.5065251548719079
0.118,[0.86478 2.661   1.13578],1.5491811000418896
0.118,[0.86222 2.59809 1.13324],1.5222298107054268
0.118,[0.86686 2.58729 1.13592],1.5351799119235534
0.118,[0.86261 2.57985 1.13297],1.5185010040714029
0.118,[0.86313 2.84986 1.1305 ],1.604103022881447
0.118,[0.86466 2.62974 1.13537],1.539748732225213
0.118,[0.86962 2.82427 1.13514],1.6160132818922932
