αs,params,chi2/dof
0.118,[0.83308 2.83083 1.19729 1.35741],2.340811082208874
0.118,[0.84568 2.72002 1.17178 1.30287],2.2139948962147344
0.118,[0.83027 2.81182 1.21021 1.43945],2.008404580094746
0.118,[0.83656 2.77676 1.18136 1.27973],2.334708111451685
0.118,[0.83971 2.8289  1.19057 1.33301],2.06881496234237
0.118,[0.83609 2.76499 1.1886  1.39156],1.7942776840245807
0.118,[0.82886 2.78871 1.18829 1.29386],2.5750640821298063
0.118,[0.82855 2.84968 1.19269 1.3839 ],1.9241540026099553
0.118,[0.82928 2.82737 1.21069 1.41492],2.5213098186314697
0.118,[0.83681 2.71334 1.17572 1.397  ],2.6279243078812207
0.118,[0.8415  2.75195 1.16635 1.29944],2.4679407820591175
